Name,Original Repository,Forked Repository Link,ADR directory,Total ADRs,Read ADRs,Old MADR format,"Text before ""Status""","Header ""Context and Problem Statement"" missing",Format error in Decision Outcome,Additional line breaks,Options not sorted consistently,Option list formatted differently,Ordering of headings differently,Spurious white spaces,Template not followed,Inconsistent Casing,Markdown Parser deficiencies,Other,Sum,,Note
ADR Tools (adr-j),https://github.com/adr/adr-j,https://github.com/adr-manager-anonymous/adr-j,https://github.com/adr-manager-anonymous/adr-j/tree/master/doc/adr,6,0,6,,,,,,,,,,,,,6,,Used MADR 1.x format
adr-log,https://github.com/adr/adr-log,https://github.com/adr-manager-anonymous/adr-log,https://github.com/adr-manager-anonymous/adr-log/tree/master/docs/adr,5,0,5,,,,,,,,,,,,,5,,Used MADR 1.x format
adr-manager,https://github.com/adr-manager-anonymous/adr-manager,https://github.com/adr-manager-anonymous/adr-manager,https://github.com/adr/adr-manager/tree/main/docs/adr,5,5,,,,,,,,,,,,,,5,,
Opinionated Digital Center's Architecture Decision Record Repository,https://github.com/opinionated-digital-center/architecture-decision-records,https://github.com/adr-manager-anonymous/architecture-decision-records,https://github.com/adr-manager-anonymous/architecture-decision-records/tree/master/docs/adr,9,3,2,2,,1,,,,,,,,1,0,9,,Outcome not in quotes; Markdown lists cannot be parsed
Archivematica Architectural Decision Records,https://github.com/archivematica/archivematica-architectural-decisions,https://github.com/adr-manager-anonymous/archivematica-architectural-decisions,https://github.com/adr-manager-anonymous/archivematica-architectural-decisions,11,0,,,,,,,,,,,,,11,11,,contained in root folder
Operate First Blueprint,https://github.com/operate-first/blueprint,https://github.com/operate-first/blueprint,https://github.com/operate-first/blueprint/tree/main/adr,19,2,,,1,1,,,14,1,,,,,,19,,"Options not as enumeration, not itemized; Description of option mixed with list
; comments before option list; Options as headings; pro/con format not followed; new Heading ""Prequreisites"""
Elastic Cloud on Kubernetes (ECK),https://github.com/elastic/cloud-on-k8s,https://github.com/adr-manager-anonymous/cloud-on-k8s,https://github.com/adr-manager-anonymous/cloud-on-k8s/tree/master/docs/design,12,0,,,,,,,,,,,,,12,12,,"ADRs in directory ""docs/design"", sub directories; concidered options as headings"
Compliant Kubernetes Documentation,https://github.com/elastisys/compliantkubernetes,https://github.com/adr-manager-anonymous/compliantkubernetess,https://github.com/adr-manager-anonymous/compliantkubernetes/tree/main/docs/adr,17,1,,,,8,,1,1,,,4,,2,,17,,"Outcome plain text; More section ""Recommendations to Operators"" / ""Other Considerations""; One 'correct' outcome could not be parsed"
API Platform Core,https://github.com/api-platform/core,https://github.com/adr-manager-anonymous/core,https://github.com/adr-manager-anonymous/core/tree/main/docs/adr,4,0,,,,4,,,,,,,,,,4,,"Addiional item ""Implementation"" in the header"
Digital Paper Edit - Client,https://github.com/bbc/digital-paper-edit-client/tree/master/docs/ADR,https://github.com/adr-manager-anonymous/digital-paper-edit-client,https://github.com/adr-manager-anonymous/digital-paper-edit-client/tree/master/docs/ADR,8,0,8,,,,,,,,,,,,,8,,"Commented out text, ..."
Digital Paper Edit - Firebase,https://github.com/bbc/digital-paper-edit-firebase,https://github.com/adr-manager-anonymous/digital-paper-edit-firebase,https://github.com/adr-manager-anonymous/digital-paper-edit-firebase/tree/master/docs/ADR,12,0,12,,,,,,,,,,,,,12,,"Commented out text, ..."
Docker image for texlive,https://github.com/dante-ev/docker-texlive/tree/main/docs/adr,https://github.com/adr-manager-anonymous/docker-texlive,https://github.com/adr-manager-anonymous/docker-texlive/tree/main/docs/adr,3,2,,,,,,,,,1,,,,,3,,
A Management System for Microservice Compositions,https://github.com/UST-MICO/docs,https://github.com/adr-manager-anonymous/docs,https://github.com/adr-manager-anonymous/docs/tree/master/adr,28,0,,,,16,,,3,,2,2,,,5,28,,Casing in the headings; general parsing error
Embedded Architectural Decision Records,https://github.com/adr/e-adr,https://github.com/adr-manager-anonymous/e-adr,https://github.com/adr-manager-anonymous/e-adr/tree/main/docs/adr,3,0,3,,,,,,,,,,,,,3,,Decision outcome not properly formatted
eCar charge pricing,https://github.com/knizamov/ecar-charge-pricing,https://github.com/adr-manager-anonymous/ecar-charge-pricing,https://github.com/adr-manager-anonymous/ecar-charge-pricing/tree/master/docs/decisions_log,1,0,,,,,,,,,,1,,,,1,,Decision in outher directory
Mozilla Experimenter,https://github.com/mozilla/experimenter,https://github.com/adr-manager-anonymous/experimenter,https://github.com/adr-manager-anonymous/experimenter/tree/main/app/experimenter/docs/adrs,7,0,,,,,,,,,,7,,,,7,,Pros and cons formatted differently
Firefox Accounts,https://github.com/mozilla/fxa,https://github.com/adr-manager-anonymous/fxa,https://github.com/adr-manager-anonymous/fxa/tree/main/docs/adr,28,1,,,,,,1,4,,,17,1,2,2,28,,"""TypeScript"" versus ""Typescript""; Option name usage; Markdown list handling; pros and cons summarized; pros and cons formatted differently; options not listed"
Generalized Architectural Decision Records,https://github.com/adr/gadr,https://github.com/adr-manager-anonymous/gadr,https://github.com/adr-manager-anonymous/gadr/tree/master/docs/adr,2,2,,,,,,,,,,,,,,2,,
Ísland.is,https://github.com/island-is/island.is,https://github.com/adr-manager-anonymous/island.is,https://github.com/adr-manager-anonymous/island.is/tree/main/handbook/technical-overview/adr,15,0,,,,3,,,,,,10,,1,1,15,,"Link included in option description headings, Parser issue with lists, ""Pos and Cons of other Options""; Grouping of options, Option argument neither pro nor con; intro text at option//pro/con section; options are ""some mixtures of these ...""; ""Great"" additionally to ""Good"""
JabRef,https://github.com/JabRef/jabref/tree/main/docs/adr,https://github.com/adr-manager-anonymous/jabref,https://github.com/adr-manager-anonymous/jabref/tree/main/docs/adr,24,15,1,,,1,,1,,,,2,,4,,24,,"markdownlint-disable-file rules are not supported; ""Other alternatives are listed at""; MD linebreaks not treated in all cases; Slight mismatch on option title; Double space does not work"
log4brains,https://github.com/thomvaill/log4brains/tree/master/docs/adr,https://github.com/adr-manager-anonymous/log4brains,https://github.com/adr-manager-anonymous/log4brains/tree/master/docs/adr,9,0,,,,2,,,,,,3,,4,,9,,Options substructured in sub options; lists are not correctly parsed
MADR,https://github.com/adr/madr,https://github.com/adr-manager-anonymous/madr,https://github.com/adr-manager-anonymous/madr/tree/main/docs/decisions,13,8,,,1,4,,,,,,,,,,13,,"Uses different template, where the option description and the option list is merged"
Monocle,https://github.com/change-metrics/monocle,https://github.com/adr-manager-anonymous/monocle,https://github.com/adr-manager-anonymous/monocle/tree/master/doc/adr,11,3,,,,3,,,,,,2,,1,,9,,Decision drivers not a list
node.js,https://github.com/nodejs/nodejs.dev,https://github.com/adr-manager-anonymous/nodejs.dev,https://github.com/adr-manager-anonymous/nodejs.dev/tree/main/docs/adr,2,0,,,,,,,,,,1,,1,,2,,Multilinelists
Open Data Hub Manifests,https://github.com/opendatahub-io/odh-manifests,https://github.com/adr-manager-anonymous/odh-manifests,https://github.com/adr-manager-anonymous/odh-manifests/tree/master/docs/adr,1,0,,,,,,,,,,,,1,,1,,
A Framework for Securing Software Update Systems,https://github.com/theupdateframework/python-tuf,https://github.com/adr-manager-anonymous/python-tuf,https://github.com/adr-manager-anonymous/python-tuf/tree/develop/docs/adr,9,1,,,,,,,,,,1,,7,,9,,
Raiden,https://github.com/raiden-network/raiden,https://github.com/adr-manager-anonymous/raiden,https://github.com/adr-manager-anonymous/raiden/tree/develop/docs/adr,10,0,,,,,,,,,,,,,10,10,,Uses ReStructured Text
Raden Services,https://github.com/raiden-network/raiden-services,https://github.com/adr-manager-anonymous/raiden-services,https://github.com/adr-manager-anonymous/raiden-services/tree/master/adr,3,0,,,,,,,3,,,,,,,3,,Numbered List used
Sylius,https://github.com/Sylius/Sylius,https://github.com/adr-manager-anonymous/Sylius,https://github.com/adr-manager-anonymous/Sylius/tree/master/adr,12,0,,,,,,,8,,,3,,1,,12,,Options are headings (merged pros/cons into option list); No outcome
Tuleap,https://github.com/Enalean/tuleap,https://github.com/adr-manager-anonymous/tuleap,https://github.com/adr-manager-anonymous/tuleap/tree/master/adr,7,1,,,,,,,,,,1,,5,,7,,
Eclipse Winery,https://github.com/eclipse/winery,https://github.com/adr-manager-anonymous/winery,https://github.com/adr-manager-anonymous/winery/tree/master/docs/adr,32,2,11,,,12,,,,,,4,,,3,32,,"Cannot parse ""## License"" at the end of the MD file; ""Usage"" section; Multiple ADRs in one MD file; pros/cons"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Sum,,,,328,46,48,2,2,55,0,3,33,1,3,58,1,30,44,326,,
