ID;Improving of Functionality;Needed Functionality;Understandability of User Interface;Efficiency of User Interface;Most often Mode;Switching Modes;Functional;Negative;Use of Tool;Additional Comments
1;Connection to GitHub was easy.;Hard: A plugin in the IDE would be better, as it wouldn't require a context switch and it would fit better to the participant's workflow.;"Negative: UI is confusing as there are too few labels. Possible improvements:
   - Labels for all test fields
   - Explanations, e.g., through explanations on hover
   - maybe wizard for guidance";Negative: Pure markdown may be faster.;"depends on the deciosion to be documented
   - Smaller decisions can be documented in Basic mode.
   - Most architectural decisions are complex enough that Professional mode is required. Particularly, the rationale behind the decision, e.g. decision drivers, are important to capture.";maybe;4;3;2;Learnability (1), Aesthetics (4 or 5)
;Needed functionality is there.;Easy; Using free text with syntax highlighting and feedback for completeness would be better.;Positive: Good: interactive and modern;Negative: IDE plugin would be better.;;;;;;They would use the tool iff it was a plugin for Visual Studio Code. They would maybe use the tool in meetings.
;;Easy: (Template) feature suggestion: Weighting decision drivers and pros/cons with stars to see which ones are more important.;;Positive: The web application may be prettier in meetings.;;;;;;
;;;;;;;;;;
2;Good: Every part of Y-Statements exists in MADR.;"Easy: sometimes it's not XOR of options
   - Support for changes over time: Sometimes one option is chosen as fast solution but another option is planned be implemented later.
   - Combinations of options";Positive: very well understandable, not too much and not too less.;Positive: Good in the example of this study.;Basic and Professional;Yes.;4;5;5;Participant is likely to try out the tool, but unsure whether in long term.
;It should also be possible to document changes over time.;Medium: Offline Mode (often documentation is done offline without internet);;Negative: Copy-paste (particularly in lists) may be annoying over time.;;;;;;
;;Easy: Import of existing ADRs.;;Negative: Visual Studio Code Plugin may be better.;;;;;;
;;"Medium: Automatic generation of a concise report as pretty presentation, e.g., Y-Statements can be put on one slide.

   - e.g. using PowerPoint or a white board like Miro";;;;;;;;
;;;;;;;;;;
3;Given functions of the tool work well.;Hard: Support for including graphics and images.;Negative: Modes were confusing. It was hard to understand that they were related to the editor.;Positive: Good, the UI is fast and clearly structured.;The participant would prefer to customize which fields are visible, e.g., they would use Links (from Professional mode) but not Technical Story (from Advanced mode). Ideally, all headings should be visible but collapsable.;Maybe;5;4;3;Functional completeness (5), Functional Correctness (5), Functional Appropriateness (4)
;The text field for deciders was confusing. It should be like lists.;Medium: GitHub as host is great for the participant but their colleagues would require GitLab.;Negative: More explanations for each sections would be helpful, e.g., a question mark next to title which shows an explanation on hover.;;;;;;;Learnability (3), Operability (5), User Interface Aesthetics (4)
;;If the participant wanted to capture ADRs in teams, they would use the tool, because it gives an external structure.;Negative: List items should have a dot at the start to show that it's a list.;;;;;;;Very dependent on the other members of a team.
;;;Negative: Multi-line text fields (like Context and Problem Statement) should be bigger.;;;;;;;
