ID,Improving of Functionality,Needed Functionality,Understandability of User Interface,Efficiency of User Interface,Most often used Mode,Switching between Modes,Functional Suitability is fitting for its purpose,Usability allows its convenient Usage,Likely to Use the Tool,Additional Comments,Think-Aloud Protocol
1,Connection to GitHub was easy.,Hard: A plugin in the IDE would be better, as it wouldn't require a context switch and it would fit better to the participant's workflow.,"Negative: UI is confusing as there are too few labels. Possible improvements:
   - Labels for all test fields
   - Explanations, e.g., through explanations on hover
   - maybe wizard for guidance",Negative: Pure markdown may be faster.,"depends on the decision to be documented
   - Smaller decisions can be documented in Basic mode.
   - Most architectural decisions are complex enough that Professional mode is required. Particularly, the rationale behind the decision, e.g. decision drivers, are important to capture.",maybe,4,3,2,Learnability (1), Aesthetics (4 or 5),Observation: No problems while connecting to GitHub, adding a repository and creating an ADR.
,Needed functionality is there.,Easy, Using free text with syntax highlighting and feedback for completeness would be better.,Positive: Good: interactive and modern,Negative: IDE plugin would be better.,,,,,They would use the tool if it was a plugin for Visual Studio Code. They would maybe use the tool in meetings.,Participant: Title field is confusing, as the field does not have a label.
,,Easy: (Template) feature suggestion: Weighting decision drivers and pros/cons with stars to see which ones are more important.,,Positive: The web application may be prettier in meetings.,,,,,,,Observation: Participant switches to Professional mode.
,,,,,,,,,,,Participant: In general, there should be more labels and explanations for the fields.
,,,,,,,,,,,Observation: Participant fills in Decision Drivers.
,,,,,,,,,,,"Observation: While filling in the Considered Options, participant does not see how to add the second option. 
-Note: The problem may be that the first option expanded automatically and thus there were many fields. After collapsing the option, the participant understood that the last field is for the next option."
,,,,,,,,,,,Observation: Participant fills in the fields in Decision Outcome.
,,,,,,,,,,,Observation: Participant notices that branch selection is bugged.
,,,,,,,,,,," Interference: Organizers show where the Commit and Push button is, because the participant does not find it.
- Participant: Commit and Push icon is confusing."
,,,,,,,,,,,
2,Good: Every part of Y-Statements exists in MADR.,"Easy: sometimes it's not XOR of options
   - Support for changes over time: Sometimes one option is chosen as fast solution but another option is planned be implemented later.
   - Combinations of options",Positive: very well understandable, not too much and not too less.,Positive: Good in the example of this study.,Basic and Professional,Yes.,4,5,5,Participant is likely to try out the tool, but unsure whether in long term.,Observation: No problems while connecting to GitHub and adding the repository.
,It should also be possible to document changes over time.,Medium: Offline Mode (often documentation is done offline without internet),,Negative: Copy-paste (particularly in lists) may be annoying over time.,,,,,,,Participant: Since the New ADR button is so big, it could be labeled new architectural decision record.
,,Easy: Import of existing ADRs.,,Negative: Visual Studio Code Plugin may be better.,,,,,,,Observation: Participant copy-pastes option titles and understands that they need to put each option in a different line.
,,"Medium: Automatic generation of a concise report as pretty presentation, e.g., Y-Statements can be put on one slide.

   - e.g. using PowerPoint or a white board like Miro",,,,,,,,,Participant: Participant is unsure if they should save the ADR or whether it is auto-saved.
,,,,,,,,,,,Interference: Organizers inform about modes.
,,,,,,,,,,,Participant: Basic, Advanced, Professional should have a small explanation, maybe label it with Usage Mode: .
,,,,,,,,,,,Participant: Participant copy-pastes consequences (i.e. list in one field).
,,,,,,,,,,,"Observation: After going to the Preview tab and back, they land in Convert-Tab. This tab was confusing. Participant did not immediately understand what to do there. Particularly, they did not know what is meant by ""MADR-Editor""."
,,,,,,,,,,,Participant: Difference between Advanced and Professional mode seems too small.
,,,,,,,,,,,"Participant: Participant didn't find that they could expand options in Professional mode on their own, but they liked UI-Concept of modes.
-Expanding the option when clicking on pencil would be more intuitive."
,,,,,,,,,,,Observation: No problems while pushing to GitHub.
,,,,,,,,,,,Participant: The Commit and Push icon may be confusing.
,,,,,,,,,,,
3,Given functions of the tool work well.,Hard: Support for including graphics and images.,Negative: Modes were confusing. It was hard to understand that they were related to the editor.,Positive: Good, the UI is fast and clearly structured.,The participant would prefer to customize which fields are visible, e.g., they would use Links (from Professional mode) but not Technical Story (from Advanced mode). Ideally, all headings should be visible but collapsible.,Maybe,5,4,3,Functional completeness (5), Functional Correctness (5), Functional Appropriateness (4),Observation: No problems while connecting to GitHub, adding a repository and creating an ADR.
,The text field for deciders was confusing. It should be like lists.,Medium: GitHub as host is great for the participant but their colleagues would require GitLab.,Negative: More explanations for each sections would be helpful, e.g., a question mark next to title which shows an explanation on hover.,,,,,,,Learnability (3), Operability (5), User Interface Aesthetics (4),Observation: No problems while filling in title, options and selecting the chosen option.
,,If the participant wanted to capture ADRs in teams, they would use the tool, because it gives an external structure.,Negative: List items should have a dot at the start to show that it's a list.,,,,,,,Very dependent on the other members of a team.,Participant: The default text (see below) of the because field in Decision Outcome is confusing.
,,,Negative: Multi-line text fields (like Context and Problem Statement) should be bigger.,,,,,,,,Interference: Organizers inform participant about modes.
,,,Negative: In the Convert tab, it's confusing what to do when one does not want to accept. Maybe a button saying Cancel or Let me edit it could be added that redirects to Raw Markdown tab.,,,,,,,,"Participant: Participant is unsure what the fields Deciders, Technical Story and Decision Drivers are for. Particularly:
-Should the Deciders field contain all deciders or just the recorder of the meeting?
-What is the difference between Technical Story and Context and Problem Statement?"
,,,"Negative: Would a short tutorial at the start be helpful?

   - A tutorial may overdo it, but a short motivational text, which explains what ADRs are for, would be helpful.",,,,,,,,Observation: Participant finds possibility to expand option (by accident).
,,,,,,,,,,,Participant: Preview of the formatted markdown is good.
